perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3.6_months_late,Count_6.12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,renewal
0.429,12058,355060,0,0,0,99.02,13,C,Urban,3300,1
0.917,17531,84140,2,3,1,98.69,7,C,Rural,3300,0
0.049,15341,250510,0,0,0,99.57,9,A,Urban,9600,1
0.052,31400,198680,0,0,0,99.87,12,B,Urban,9600,1
1,24829,118400,0,0,0,99.05,11,B,Urban,7500,1
1,21911,180240,1,6,4,99.33,3,A,Urban,9600,0
0.621,9868,92520,0,0,0,99.58,4,A,Urban,7500,1
0.908,23008,107180,2,0,0,98.91,11,A,Rural,5400,0
0.051,17529,200100,1,0,0,98.66,22,C,Rural,1200,1
0.033,16075,122060,0,0,0,97.03,7,B,Urban,1200,1
1,16436,27290,1,0,1,98.32,4,A,Urban,1200,1
0.111,19723,136000,0,0,0,99.59,9,A,Urban,11700,1
0.027,16430,114110,0,0,1,98.7,13,D,Urban,7500,1
0.963,12788,90140,1,0,0,99.06,9,A,Urban,5400,1
0.055,23010,410310,0,0,0,99.66,10,A,Urban,18000,1
0.125,22639,315110,0,0,0,99.31,14,A,Rural,3300,1
0.012,16433,87530,0,0,0,NA,5,A,Rural,3300,1
0,11687,152610,1,2,1,99.53,5,C,Urban,9600,0
0.455,17530,190090,0,0,0,99.22,31,A,Urban,5400,1
0.229,17895,364950,0,0,0,99.07,10,A,Rural,24300,1
0.88,17161,225090,1,0,1,99.72,21,C,Rural,3300,1
0.87,16430,240040,0,0,0,98.83,10,A,Urban,13800,1
0.03,32495,315070,0,0,0,99.89,9,A,Urban,7500,1
0,22273,395050,0,0,0,98.61,8,A,Urban,34800,1
0.036,21179,82540,0,0,0,99.6,8,B,Rural,1200,1
0.326,17895,200050,0,0,0,98.79,11,A,Rural,1200,0
0.39,15345,128640,0,0,0,97.42,16,A,Rural,9600,1
0.016,11693,75060,0,0,0,99.77,10,A,Urban,5700,1
0.023,23007,245040,0,0,0,98.94,22,A,Urban,24300,1
0.135,13149,107030,0,0,0,99.43,6,A,Urban,7500,1
0.036,21549,150090,0,0,0,99.89,9,A,Rural,9600,1
0.003,23000,288080,0,0,0,99.57,23,A,Urban,15900,1
0.631,16438,337600,0,0,0,99.66,7,C,Rural,28500,1
0.945,17165,105520,0,10,0,99.58,8,C,Urban,5400,0
0.007,10594,185580,0,0,0,99.32,14,A,Urban,9600,1
0.04,21545,316090,0,0,0,99.52,8,B,Urban,28500,1
0,21542,390130,0,0,0,92.82,22,A,Urban,47400,1
0.026,26290,87050,0,0,0,99.32,8,A,Rural,3300,1
0.043,14974,75050,0,0,0,97.85,11,A,Urban,3300,1
0.016,16798,84110,0,0,0,99.18,13,D,Urban,3300,1
0.292,16075,87630,0,0,0,99.03,11,C,Urban,5400,1
0.069,13878,296550,0,0,0,99.5,13,D,Urban,18000,1
0.543,13154,96130,0,0,0,98.19,10,C,Urban,7500,1
0.659,16440,180120,0,0,0,99.13,12,D,Urban,5400,1
0.376,14610,135070,0,0,0,98.94,12,D,Rural,11700,1
0,20810,150120,0,0,0,NA,5,A,Urban,7500,1
0,13875,125060,0,0,0,NA,10,B,Urban,11700,1
0.971,9870,31570,1,1,0,99.17,8,A,Urban,5700,0
0.368,21905,394170,0,0,0,99.35,12,A,Rural,32700,1
0.399,22277,210050,1,0,0,98.9,14,A,Rural,9600,1
0.067,14970,300140,0,0,2,99.25,9,B,Rural,13800,1
0.001,21175,278920,0,0,0,99.33,12,A,Rural,9600,1
0.225,22272,120020,0,0,0,98.43,9,B,Urban,7500,1
0,17896,227150,0,0,0,98.83,11,B,Urban,1200,1
0.412,9495,161350,0,0,0,99.7,6,B,Urban,7500,1
0.332,18989,361610,0,0,0,99.64,7,C,Urban,13800,1
0.266,18259,187550,1,0,0,NA,3,A,Urban,18000,1
0,8044,24660,0,0,0,NA,4,A,Urban,1200,1
0.194,16072,400070,1,0,0,99.3,18,A,Urban,22200,1
0.585,16804,60030,0,0,0,98.37,5,B,Urban,5700,0
1,16065,329550,0,0,0,99.77,2,D,Urban,18000,0
0.568,20811,123060,0,0,0,98.07,9,A,Rural,3300,1
0.671,13514,135110,1,0,0,98.9,6,A,Rural,1200,1
0.589,19716,241240,1,0,0,98.86,12,C,Rural,11700,1
0.004,15708,195970,0,0,0,99.64,12,C,Rural,22200,1
0.07,25200,67050,0,0,0,98.14,14,A,Urban,5700,1
0.052,10961,180040,0,0,0,99.83,12,C,Rural,11700,1
0.034,23733,266270,0,0,0,99.7,7,C,Urban,13800,1
0.046,15706,60050,0,0,0,99.56,11,A,Urban,3300,1
0.163,22276,900030,0,0,0,99.66,12,A,Rural,39000,1
0.398,20086,299900,0,0,0,99.63,8,B,Urban,20100,1
0.056,19350,80090,0,0,0,99.78,9,A,Urban,3300,1
0.725,26295,216070,0,0,0,98.6,14,A,Urban,11700,0
0.966,28119,191160,0,0,0,98.57,28,B,Urban,9600,1
0,11695,162550,0,0,0,98.34,10,B,Urban,5400,1
0.738,13148,77200,0,0,0,98.76,17,A,Rural,3300,1
0.452,21177,84030,0,0,0,98.92,12,A,Urban,5700,1
0.033,13877,184500,0,0,0,99.41,8,B,Urban,13800,1
0.503,18257,112540,3,0,0,99.74,13,A,Urban,5400,0
0.133,21178,138080,0,0,0,99.3,8,A,Urban,13800,1
0.476,8769,42940,0,0,0,99.83,4,A,Urban,3300,1
0.028,22278,129110,0,0,0,99.1,6,A,Rural,9600,1
0.196,23006,309690,0,0,0,99.36,11,A,Urban,18000,1
1,9139,63680,0,1,0,99.22,6,A,Urban,5400,0
0.003,19717,130930,0,0,0,99.39,7,D,Urban,9600,1
0.914,20089,129100,2,0,0,97.87,19,B,Urban,1200,0
0.4,19350,412970,0,0,0,98.88,12,C,Urban,22200,1
1,18627,147100,1,0,0,99.86,4,D,Rural,9600,1
0.027,19721,212600,0,0,0,99.89,7,B,Rural,13800,1
0.064,18992,180070,1,0,0,99.88,6,B,Rural,7500,1
0,17163,114040,1,0,0,98.9,8,C,Rural,9600,1
0.005,25920,46400,0,0,0,99.54,13,A,Urban,5700,1
0,16073,222810,0,0,0,99.77,17,A,Rural,9600,1
0.031,20818,228600,0,0,0,99.19,10,A,Urban,13800,1
0.012,23001,254420,0,0,0,99.52,15,B,Rural,7500,1
0.342,14242,312560,0,0,0,98.64,10,D,Urban,13800,1
0.008,23009,45120,0,0,0,99.89,9,A,Urban,3300,1
0.25,26650,69030,1,0,0,95.47,13,A,Rural,3300,1
0.02,20816,403370,0,0,0,99.58,14,A,Rural,20100,1
0,15336,300030,1,0,0,99.22,17,D,Rural,1200,1
0.016,14979,292810,1,0,0,98.86,20,D,Rural,7500,1
0.57,12421,127530,0,0,0,99.65,6,A,Rural,5400,1
1,15336,173130,0,0,0,98.76,6,A,Urban,18000,1
0.041,16072,209070,0,0,0,99.11,11,C,Urban,5400,1
0.374,12421,135030,1,0,0,99.53,11,B,Urban,13800,1
0,26656,315080,0,0,0,NA,10,A,Urban,13800,1
0.108,23365,510070,0,0,0,98.62,12,A,Urban,5400,1
0.119,19359,240130,0,0,0,98.71,8,B,Rural,11700,1
0.714,18994,60060,1,0,0,NA,14,D,Urban,5700,1
0.474,11323,66820,0,0,0,98.49,7,B,Urban,3300,1
0.745,17893,133650,0,0,0,96.88,5,A,Urban,9600,1
0.014,18985,141240,0,0,0,98.82,7,B,Urban,7500,1
0.686,14974,326960,0,0,0,98.86,15,B,Urban,3300,1
0.723,18988,183660,0,0,0,98.76,5,C,Rural,9600,1
0.42,14605,171140,1,0,0,98.47,11,C,Urban,3300,1
0,18257,210100,0,0,0,98.52,10,B,Urban,9600,1
0.664,13512,300480,0,0,0,98.72,14,A,Urban,28500,1
0.176,13877,80120,0,0,0,98.66,19,A,Urban,3300,1
0.501,14972,208680,0,0,0,99.02,13,C,Rural,22200,1
0.165,23001,111100,0,0,0,99.25,9,C,Urban,5400,1
0.941,10233,120070,0,0,0,99.16,9,C,Urban,7500,1
0.018,25925,305600,0,0,0,99.89,11,A,Urban,18000,1
0.111,18255,159110,0,0,0,99.74,9,C,Rural,11700,1
0.358,17528,216130,1,0,0,98.83,17,B,Rural,15900,1
0.002,21178,237070,0,1,0,99.39,25,A,Urban,11700,1
0.18,29578,41230,0,0,0,98.86,15,A,Urban,1200,1
0.44,8771,75110,0,0,0,99.84,5,A,Rural,3300,1
0.03,18989,82650,0,0,0,99.43,6,A,Urban,7500,1
0.522,23736,235550,0,0,0,98.63,11,B,Rural,11700,1
0.032,26657,180110,0,0,0,99.37,12,A,Rural,15900,1
0.7,12780,105100,0,0,0,99.09,9,A,Rural,1200,1
0.382,18262,150080,0,0,0,99.19,10,A,Urban,7500,1
0.057,22638,104210,0,0,0,99.42,10,C,Rural,7500,1
0,18258,160200,0,0,0,99.7,6,A,Urban,1200,1
0.021,18985,87570,0,0,0,98.59,7,A,Urban,5400,1
0.093,21546,334600,1,0,0,99,18,A,Rural,15900,1
0.001,20085,273120,2,0,0,99.25,19,B,Urban,15900,1
0.02,29213,120030,0,0,0,99.88,9,A,Urban,11700,1
0.029,24830,59490,0,0,0,98.84,8,B,Rural,5700,1
0,8045,27900,0,0,0,NA,4,A,Rural,1200,1
0.066,8768,56460,0,0,0,99.83,4,A,Urban,3300,1
0.01,15702,153820,0,0,0,99.37,10,C,Urban,13800,1
0.102,17168,582110,0,0,0,99.43,15,D,Urban,60000,1
0.005,19716,300030,0,0,0,98.93,11,B,Rural,5400,1
0.027,18991,310040,0,0,0,99.3,12,D,Urban,22200,1
0.783,22637,108050,0,0,0,98.95,10,A,Urban,3300,1
0.008,21906,215030,0,0,0,99.32,7,A,Rural,15900,1
0.019,28476,72150,0,0,0,99.84,11,A,Urban,3300,1
0.245,13880,201110,0,0,0,99.47,9,A,Urban,26400,1
0.112,21176,230190,0,0,0,99.07,8,A,Urban,9600,1
0.022,26650,416520,0,0,0,99.49,30,C,Rural,20100,1
0.501,20447,552150,0,0,0,99.26,24,B,Rural,57900,1
0.162,13882,525150,0,0,0,99.54,20,A,Rural,22200,1
0.95,17893,255290,1,0,0,98.71,18,A,Rural,20100,0
0.003,19356,385050,0,0,0,99.39,21,D,Urban,20100,1
0.016,28478,105650,0,0,0,99.89,7,A,Rural,9600,1
0.38,16437,266830,0,0,0,98.93,17,A,Urban,18000,1
0.145,19359,312580,0,0,0,99.36,14,A,Rural,30600,1
0.178,15700,162660,0,0,0,98.22,15,A,Rural,13800,1
0.622,13511,66050,0,0,0,99.2,7,A,Rural,5700,1
0.012,28110,30120,0,0,0,NA,3,A,Urban,1200,1
0.118,26293,165050,1,0,0,99.43,9,C,Urban,1200,1
0.929,19350,183100,0,1,0,98.93,9,A,Rural,7500,1
0,12425,390030,0,0,0,99.44,11,B,Urban,24300,1
0.909,10958,149100,0,0,0,99.13,10,A,Rural,5400,1
0.04,18994,62970,0,0,0,98.42,9,A,Urban,5700,1
0.259,19356,150060,0,0,0,99.56,12,A,Rural,11700,1
0.007,25924,221700,0,0,0,99.53,14,B,Rural,18000,1
